adduct,n_mer,charge,mass_shift
[M+H-C8H2Cl4]+,1,1,-236.8837843319
[M+H-C11H16N2O5]+,1,1,-255.09864515989997
[M+H-C8H7NO2]+,1,1,-148.0404020119
[M+H-C10H17NO3]+,1,1,-198.11356695189997
[M+H-C2H2N3S]+,1,1,-98.98966630189999
[M-H-C4H5NO3]-,1,-1,-116.03421947209999
[M-H-C3H7NO2]-,1,-1,-90.0549549161
[M+H-C11H10N2O]+,1,1,-185.0720364879
[M+H-C25H42O12]+,1,1,-533.2603503319
[M-H-HCl]-,1,-1,-36.9839541641
[M+CHO2+4i]-,1,-1,49.0116228519
[M-H-CHNS]-,1,-1,-59.990246174099994
[M+H-C10H20O2]+,1,1,-171.1390534279
[M+H-C11H15N]+,1,1,-160.1131730279
[M+H-C7H5Cl2NO2]+,1,1,-203.9624573079
[M+H-C2H9NO4]+,1,1,-110.04588131589999
[M+H-C5H16O3]+,1,1,-123.10266791989999
[M+H-C8H15NOS]+,1,1,-172.0801583379
[M+H-C6H4N2S]+,1,1,-135.0022423659
[M+H-C7H10O2]+,1,1,-125.0608031079
[M+Cl-H]2-,1,-2,33.962124807799995
[M-H2O]+,1,1,-18.011113579899998
[M+H-C11H10O3]+,1,1,-189.05571772789997
[M+H-C2H7O3PS]+,1,1,-140.9780749519
[M+H-C6H5NO2]+,1,1,-122.0247519479
[M+H-C6H5ClS]+,1,1,-142.9727720779
[M+H+2i-C2H3NO]+,1,1,-54.0074772639
[M-H-C11H20O7]-,1,-1,-265.1281794321
[M+H-C4H9N3]+,1,1,-98.07237083589999
[M+H-C12H20O10]+,1,1,-323.09837038789993
[M-H-C5H9NO2S]-,1,-1,-148.0426756701
[M+H-C5H6]+,1,1,-65.0396737399
[M+H-C13H18O3]+,1,1,-221.11831798389997
[M+H-C12H9AsO2]+,1,1,-258.97457207589997
[M+H-C19H34O11]+,1,1,-437.20283545589996
[M-H-C22H30O]-,1,-1,-311.2369420321
[M+H-C13H18O8]+,1,1,-301.09289108389993
[M+H-C9H16O]+,1,1,-139.1128386799
[M+H-C7H16O6]+,1,1,-195.08741177989998
[M+H+2i-C4H4N2OS]+,1,1,-124.99044698590001
[M+4Na-3H]+,1,1,88.9350534441
[M-H-C11H19N4]-,1,-1,-208.16824806009998
[M-H-C5H7O6P]-,1,-1,-195.0053010261
[M+H-C5H4N2O2]+,1,1,-123.0200009159
[M+H-C33H60O16]+,1,1,-711.3808593878999
[M+H-C5H3NO2]+,1,1,-108.0091018839
[M+H-C13H14ClF3N2O2]+,1,1,-321.06231357589996
[M-H-HNO2]-,1,-1,-48.0080047241
[M+H-C5H5N3O3]+,1,1,-154.02581456789997
[M-H-C16H33O]-,1,-1,-242.26041712810002
[M-H-C9H11N3O8]-,1,-1,-290.06189076410004
[M+H-C28H52O24]+,1,1,-771.2775760919
[M+H-C11H7N]+,1,1,-152.0505727719
[M+H-C7H4ClNO]+,1,1,-151.9908649759
[M+H-C9H8F3NO]+,1,1,-202.0485220839
[M+H-C15H18O8]+,1,1,-325.09289108389993
[M+H-C4H12NO2P]+,1,1,-136.05328880189998
[M+H-C4H14O3]+,1,1,-109.0870178559
[M+H-C20H24]+,1,1,-263.18052431589996
[2M-H+4i]-,2,-1,3.0061435479
[M+H-C7H7SO2]+,1,1,-154.00939870189998
[M+H-C9H10N2O2]+,1,1,-177.0669511079
[M+H-C10H15NO4]+,1,1,-212.0928315079
[M+H+2i-C2H7NO2S]+,1,1,-106.0057627019
[M-H-C8H18O7]-,1,-1,-227.11252936809998
[M+NH4+2i]+,1,1,20.0405354201
[M-Na]-,1,-1,-22.989220700100002
[M-H-C8H15NO2]-,1,-1,-158.1175551721
[M+H-C11H20O6]+,1,1,-247.11871190789998
[M+H-C12H24]+,1,1,-167.1805243159
[M+H-C5H6SO2]+,1,1,-129.00157366989998
[M+H-C5H10O3]+,1,1,-117.05571772789999
[M+H-C6H4N2O]+,1,1,-119.0250862959
[M+H-CH2SO2]+,1,1,-76.97027354189999
[M+H-C5H3N3O]+,1,1,-120.0203352639
[M-H-C6H5SO]-,1,-1,-126.0133869221
[M+H-C17H12O8]+,1,1,-343.0459408919
[M+2i-H-C6H9NO2]-,1,-1,-126.0638949801
[M-H-C7H14O5]-,1,-1,-179.09140000009998
[M-H-C10H10O4]-,1,-1,-195.0651852521
[M+H-C6H4F2O]+,1,1,-129.0157447359
[M+H-C7H13N]+,1,1,-110.09752296389999
[M+H-C3H5NO2]+,1,1,-86.0247519479
[M+H-C9H7ClN2O]+,1,1,-193.0174140719
[M+H-C2H6SO]+,1,1,-77.0066590499
[M+H-C15H12N2]+,1,1,-219.0927719319
[M+H-C4H13NO]+,1,1,-90.09243758390001
[M+H-C3H10N2]+,1,1,-73.07712186789999
[M+H-C7H7ClS]+,1,1,-156.9884221419
[M-H-C6H7NO2S]-,1,-1,-158.0270256061
[M+H-C9H16N2O3]+,1,1,-199.10881591989997
[M+H-C13H16FN]+,1,1,-204.1194012799
[M+H-C2H4NO2]+,1,1,-73.0169269159
[M+H-CH2N2O]+,1,1,-57.0094362319
[M+H-H20],1,0,-19.148675607999998
[M+H-C8H10N2O]+,1,1,-149.0720364879
[M-H-C4H8O2]-,1,-1,-89.0597059481
[M+H-C6H16O4]+,1,1,-151.0975825399
[M+2i-H-C5H7NO2]-,1,-1,-112.0482449161
[M+H-C3H6S]+,1,1,-73.01174442989999
[M+H+2i-C3H9N]+,1,1,-56.059512835899994
[M-H-C2H7NO]-,1,-1,-62.0600402961
[M-H-C10H8O3]-,1,-1,-177.05462056809998
[M+H-C5H4F3N3]+,1,1,-162.0284553359
[M-H-C16H28O11]-,1,-1,-397.1704381681
[M+H-H2SO3]+,1,1,-80.96518816189999
[M+H+2i-CH3NO2]+,1,1,-58.0023918839
[M+H-C2H7N3]+,1,1,-72.0567207719
[M+H-Br]+,1,1,-77.9110606479
[M+H+2i-C3H2O]+,1,1,-50.9965782319
[M-H-C4H9NO4]-,1,-1,-136.0604342201
[4M-H]-,4,-1,-1.0072764521
[M+H-C2H4Br]+,1,1,-105.9423607759
[M-H-C8H7N3O]-,1,-1,-162.0661882961
[M+H-C21H41NO3]+,1,1,-354.3013677199
[M+H-C9H13N]+,1,1,-134.0975229639
[M-H-CH3NO2]-,1,-1,-62.0236547881
[M+H-C7H5FN2]+,1,1,-135.0363999279
[M+H-C11H19N]+,1,1,-164.1444731559
[M-H-C8H8F2O]-,1,-1,-159.0615977681
[M-H-CH3N2]-,1,-1,-44.0368995481
[M-H-C7H4N2O3]-,1,-1,-165.02946844009998
[M+H-C9H11N]+,1,1,-132.0818728999
[M+H-C10H12O5]+,1,1,-211.06119703189998
[M+H-H10O5]+,1,1,-89.0455469679
[M+H-C7H5O2]+,1,1,-120.0216779479
[M-H-C15H10O2]-,1,-1,-223.0753560121
[M+H-C12H22O3]+,1,1,-213.14961811189997
[M+H-C5H13NO]+,1,1,-102.0924375839
[M-H-CH2]-,1,-1,-15.022926516099998
[M+H-C7H6N2O4]+,1,1,-181.0254802199
[M-H-CHNO]-,1,-1,-44.0130901041
[M+H-C2H8O]+,1,1,-47.0502384239
[M+H-C8H6F3NO]+,1,1,-188.0328720199
[M+H-C7H7FO2]+,1,1,-141.0357312319
[M+H-C2H2O3]+,1,1,-72.99311747189999
[M-H-C6H8O4]-,1,-1,-145.0495351881
[M+H-ClN2]+,1,1,-61.96772422789999
[M-H-C8H7BrO]-,1,-1,-198.9753033961
[M+H-C3H2F3NO]+,1,1,-124.0015718919
[M+NH5]+,1,1,19.0416505801
[M+H-C11H13NO]+,1,1,-174.0924375839
[M+H-C18H24N2O2]+,1,1,-299.17650155589996
[M+H-C16H25NO9]+,1,1,-374.14565492789995
[M+H-C6H11NO3S]+,1,1,-176.03868744989998
[M+H-C11H13BrF2O2]+,1,1,-292.9994217439
[M-H-C14H18Cl2N2]-,1,-1,-285.0919803881
[M-H-C10H18O9]-,1,-1,-283.1023586081
[M+NH4-H2O]+,1,1,0.02326042009999997
[M+H-CH2N]+,1,1,-27.011447611899996
[M-H-C7H9NO3]-,1,-1,-156.06551960009998
[M+H-C9H8N2OS]+,1,1,-191.0284571139
[M+H+2i-C2H4S]+,1,1,-56.989384365899994
[M+H+2i-NH3]+,1,1,-14.0125625479
[M-H-C6H5N5]-,1,-1,-148.0617716121
[M-H-C13H10O2]-,1,-1,-199.0753560121
[M+H-CHO2]+,1,1,-43.9903778199
[M-H-C5H9NS]-,1,-1,-116.05284643009999
[M-H-H2Cl2]-,1,-1,-72.9606318761
[M+H-C4H5NO2S2]+,1,1,-161.9688933279
[M-H-SO2]-,1,-1,-64.9691763821
[M+2-H-H2O]-,1,-1,-19.0178414521
[M-H-C5H11NO2]-,1,-1,-118.0862550441
[M-H-C5H12]-,1,-1,-73.1011768361
[M+H-C5H4N4O]+,1,1,-135.0312342959
[M-H-C11H14O6]-,1,-1,-243.08631462009998
[M+H-CHNO3S]+,1,1,-105.96043712989999
[M+H-C7H5NO4]+,1,1,-166.0145811879
[M+H-CF3NO2]+,1,1,-113.9808364479
[M+H-C5H6NO]+,1,1,-95.0376623599
[M-H-C5H10N2O]-,1,-1,-115.0865893921
[M-H-C5H9N]-,1,-1,-84.0807757401
[M-H-C8H16O8]-,1,-1,-241.0917939241
[M+H+2i-HCl]+,1,1,-32.9626912599
[M-H-C7H11NO3]-,1,-1,-158.08116966409997
[M+H-C7H6BrNO2]+,1,1,-213.9509140799
[M+H-C3H7]+,1,1,-42.047498771899996
[M+D]+,1,1,2.0135531981000003
[M+H-C4H4]+,1,1,-51.0240236759
[M-H-C3H8SO3]-,1,-1,-125.02669125809999
[M+H-C8H8N2]+,1,1,-131.0614718039
[M+H-C3H2O3]+,1,1,-84.99311747189999
[M+H-CH5ClN]+,1,1,-65.00377538789999
[M-H-C14H29NO]-,1,-1,-228.23219100010002
[M+H-C3H5O2]+,1,1,-72.0216779479
[M+H-C3H4ClN2]+,1,1,-101.99902435589999
[M+H+2i-C8H11N]+,1,1,-118.0751628999
[M-H-C4H8NO]-,1,-1,-87.0678653281
[M-H-C21H26O12]-,1,-1,-471.1497027241
[M-H-C14H19N3O2]-,1,-1,-262.1550033001
[M+H-C13H12O4]+,1,1,-231.0662824119
[M+H-C2H4O]+,1,1,-43.0189382959
[M+H-C4H6]+,1,1,-53.039673739899996
[M+H-C8H4N2O]+,1,1,-143.0250862959
[M+H-C8H9FN2O]+,1,1,-167.0626146759
[M-H-C10H11N]-,1,-1,-146.0964258041
[M+H-C10H16N5O13P3]+,1,1,-505.9884690099
[M+H-C7H14O3]+,1,1,-145.08701785589997
[M+H-C5H11N3O2S]+,1,1,-176.0499208299
[M+H-C7H7ClN2O]+,1,1,-169.0174140719
[M-H-C9H19N2O]-,1,-1,-172.1570146801
[M+H-C5H7NO]+,1,1,-96.0454873919
[M+H-C8H4F3NS]+,1,1,-201.9943780259
[M+H-C16H16O10]+,1,1,-367.06707025989994
[M+H+2i-HF]+,1,1,-16.992241799899997
[M+H-H4BrN]+,1,1,-95.9454347759
[M+H-C7H5F4N]+,1,1,-178.0285355879
[M+H-C6H4FO]+,1,1,-110.0173415159
[M+H-C13H20O9]+,1,1,-319.10345576789996
[M+H-C8H11NO4]+,1,1,-184.0615313799
[M+H+2i-C4H9INO]+,1,1,-210.9589004559
[M+H-C27H46O24]+,1,1,-753.2306258999
[M-4H]4-,1,-4,-4.0291058084
[M-H-C8H7O2]-,1,-1,-136.0518809161
[M+H-C6H7NO5]+,1,1,-172.02514587189998
[M-H-C7H8FN]-,1,-1,-126.0713539281
[M+H-C17H30O15]+,1,1,-473.1511938078999
[M+H-C9H10N2S]+,1,1,-177.0491925579
[M+H-C16H30O14]+,1,1,-445.15627918789994
[M+H+2i-CH2N2O]+,1,1,-55.0027262319
[M+2H-3H2O]2+,1,2,-52.0171420958
[M+H-C2H7NO2]+,1,1,-76.0404020119
[M-H-C5H4O]-,1,-1,-81.0334912001
[M+H-C3H2F3NO2]+,1,1,-139.9964865119
[M-H-N2O3]-,1,-1,-76.99816831209999
[M+H-C2H6ClN]+,1,1,-78.01160041989999
[M+H-H2NO2S]+,1,1,-78.9733475419
[M+H+2i-H2ClO]+,1,1,-49.9654309119
[M+H-C3H8NO6P]+,1,1,-184.0016471539
[M-H-C6H6O5]-,1,-1,-159.02879974409998
[M+H-C10H13NO3]+,1,1,-194.08226682389997
[M+H-C18H30O15]+,1,1,-485.1511938078999
[M+H-C2H5N5]+,1,1,-98.0472187079
[M+H+2i-C7H6O2]+,1,1,-119.0227929799
[M+H-C7H7]+,1,1,-90.0474987719
[M+CO2-H]-,1,-1,42.9825527879
[M+H-CH2F2O2]+,1,1,-82.9950092919
[M+H-C2H2ClO]+,1,1,-75.9721409119
[M+H-CH3Cl]+,1,1,-48.985051323899995
[M+H-CH3ClO]+,1,1,-64.9799659439
[M+H-H2]+,1,1,-1.0083736119
[M+H+2i-CF2]+,1,1,-46.9828199879
[M+H-C7H18O4]+,1,1,-165.1132326039
[M+H+4i-CH4O]+,1,1,-27.0055185479
[M-H-C2H5ClO]-,1,-1,-81.0101689121
[M+H-C9H15NO]+,1,1,-152.1080876479
[M+H-C9H20O3]+,1,1,-175.13396804789997
[M+H-C20H36O11]+,1,1,-451.21848551989996
[M+H+2i-H2O2]+,1,1,-30.991492851899995
[M+H-C3H7F3O]+,1,1,-115.0376230519
[M-H-CSO3]-,1,-1,-92.96409100209999
[M+H-C22H40N2O7]+,1,1,-443.27627516789994
[M+H-C6H11NO6]+,1,1,-192.05136061989998
[M+H-C10H14N2O6S2]+,1,1,-321.02205109589994
[M-H-C14H20O2]-,1,-1,-221.1536063321
[M-H-C12H18N2O5]-,1,-1,-271.1288481281
[M+H-C7H5NO]+,1,1,-118.0298373279
[M+H-C12H9NS]+,1,1,-198.0382935259
[M+H-CH4SO3]+,1,1,-94.98083822589999
[M-H-C10H11NO4S]-,1,-1,-242.04815497410002
[M+H-C3H5BrS]+,1,1,-150.9222564979
[M+NH4]+,1,1,18.0338254201
[M+H-C6H8O]+,1,1,-95.0502384239
[M-H-CHNO3]-,1,-1,-76.0029193441
[M-H-C8H5BrOS]-,1,-1,-228.9317240221
[M+H-C8H7N3S2]+,1,1,-208.00086215189998
[M+H+2i-C2HNO2]+,1,1,-67.9867418199
[M+H-C8H7ClO2]+,1,1,-169.0061806919
[M+H+2i-C6H10O5]+,1,1,-159.03883696789998
[M+H-C14H10]+,1,1,-177.0709738679
[M-H-C4H4N2O2]-,1,-1,-113.0345538201
[M-H-C4H3Cl2N]-,1,-1,-135.9715309081
[M+NO3]-,1,-1,61.98836643989999
[M+H-BrCl]+,1,1,-112.8799133279
[M-H-CH3N2S]-,1,-1,-76.0089702381
[M-H-CH2N2S]-,1,-1,-75.00114520609999
[M-H-C11H14O9]-,1,-1,-291.0710584801
[M+H-C27H48O25]+,1,1,-771.2411905839
[M+H-C4H3S2O2]+,1,1,-145.9501692639
[M+H-C2H3F3O]+,1,1,-99.0063229239
[M+H-CH3NH2]+,1,1,-30.034922707899998
[M-H-C16H32O]-,1,-1,-241.2525920961
[M+H-C7H10N2O2S]+,1,1,-185.0390217979
[M+H-C8H7FNO]+,1,1,-151.0438906119
[M-H-C14H26O]-,1,-1,-211.2056419041
[M+H+4i]+,1,1,5.020696452099999
[M+H-C19H25N3S]+,1,1,-326.16964203789996
[M+H+2i-C16H24FNO]+,1,1,-262.17020615589996
[M+H-C8H20O4]+,1,1,-179.1288826679
[M-H-C9H7NO3]-,1,-1,-178.04986953609998
[M+H-C13H18N4O]+,1,1,-245.14078474389999
[M+H-C11H17NO2]+,1,1,-194.1186523319
[M-H-C8H10O]-,1,-1,-123.0804413921
[M-H-C10H10O]-,1,-1,-147.0804413921
[M+H-C40H66O33]+,1,1,-1073.3413581199
[M+H-C3H5Cl3O]+,1,1,-160.9333213679
[M+H-C2H4BrNO]+,1,1,-135.9403493959
[M+H-C12H20N2O4]+,1,1,-255.1350306679
[M-H-C6H5FO]-,1,-1,-113.0397194521
[M+H-C11H18N2O2]+,1,1,-209.1295513639
[M+H-C13H20N2O4]+,1,1,-267.13503066789997
[M-H-C10H20]-,1,-1,-141.1637770921
[M+H-C3H4]+,1,1,-39.0240236759
[M+H-C28H50O23]+,1,1,-753.2670114079
[M+H-H7FO3]+,1,1,-73.03064585189999
[M-H-C16H28O10]-,1,-1,-381.1755235481
[M-H-CH4O]-,1,-1,-33.0334914521
[M-CH3]-,1,-1,-15.0229265161
[M+Ba-H]+,1,1,136.8968263881
[M-H-C2F2O3]-,1,-1,-110.9888267521
[M-H-C20H35NO15]-,1,-1,-530.2079458721
[M+H-C2H2SO]+,1,1,-72.9753589219
[M+H-C7H3ClNO3]+,1,1,-182.97286918389997
[M+H-C3H8O2]+,1,1,-75.0451530439
[M+H-C13H16O4]+,1,1,-235.0975825399
[M+H-C12H28O4]+,1,1,-235.1914829239
[M+H-CH6]+,1,1,-17.0396737399
[M-H-C14H17O3]-,1,-1,-234.1250458561
[M-H-C7H6N2]-,1,-1,-119.0603746441
[M+H-C5H7NO3]+,1,1,-128.03531663189997
[M+H-C14H25NO3]+,1,1,-254.17616720789997
[M-H-C8H8O2]-,1,-1,-137.0597059481
[M+H-C2H4N2S]+,1,1,-87.00224236589999
[M+8i-H]-,1,-1,7.019563547900001
[M+H-C5H11NO2S]+,1,1,-148.0437728299
[M+H-C8H6O2]+,1,1,-133.0295029799
[M-H-C9H9ClO2]-,1,-1,-185.0363836601
[M-H-C7H7N2O]-,1,-1,-136.0631142961
[M+H-C2H10NO]+,1,1,-63.068962487899995
[M+H-C11H8O]+,1,1,-155.0502384239
[M+H+2i-C4HNO2S]+,1,1,-123.9588125099
[M+H-C3H6N2]+,1,1,-69.04582173989999
[M+H-C10H9FO2S]+,1,1,-211.0234519859
[M+NH3]+,1,1,17.0260004201
[M+H-C8H7Cl]+,1,1,-137.0163514519
[M-H-C4H9NO3]-,1,-1,-120.06551960009999
[M-H-C6H11N3O2]-,1,-1,-158.0924030441
[M+2i-H-C2H3NO]-,1,-1,-56.0220301681
[M+H-C7H6O2]+,1,1,-121.0295029799
[M+H-C13H22O10]+,1,1,-337.1140204519
[M+H-C23H29NO2]+,1,1,-350.2125527159
[M+H-C2H5O2]+,1,1,-60.021677947899995
[M+H-C4H9O5P]+,1,1,-167.01148356590002
[M+CH3CO-H]-,1,-1,42.0111132639
[M-H-C16H20O10]-,1,-1,-373.1129232921
[M-H-C13H14O9]-,1,-1,-315.0710584801
[M+H-99]+,1,1,1.0072764521
[M+H-C2H4-H2O]+,1,1,-45.0345886759
[M+H-C6H5ClO]+,1,1,-126.9956160079
[M+H-C6H10SO2]+,1,1,-145.03287379789998
[M+H-C3H2NO2]+,1,1,-83.0012768519
[M+H-C20H21NO7]+,1,1,-386.1245255599
[M+H-C11H12O4]+,1,1,-207.0662824119
[M+H-C12H20O]+,1,1,-179.1441388079
[M+H-C15H20N2]+,1,1,-227.15537218789999
[M+H+6i]+,1,1,7.027406452099999
[M+H-C2H8N2O]+,1,1,-75.0563864239
[M+H-C6H13O]+,1,1,-100.0893635839
[M+H-C8H7N3]+,1,1,-144.0567207719
[M-H-C7H6O5]-,1,-1,-171.02879974409998
[M+H-C13H26O2]+,1,1,-213.1860036199
[M+H-N2H4]+,1,1,-31.0301716759
[M+2i-H-C2H4]-,1,-1,-27.0318665801
[M-H-C41H66O12]-,1,-1,-751.4627040040999
[M+H-C11H14O6]+,1,1,-241.07176171589998
[M-H-C8H4N2O]-,1,-1,-145.0396392001
[M+H-C13H19NO]+,1,1,-204.1393877759
[M-H-C6H10FNO3]-,1,-1,-164.0717478521
[M+2i-H-CH2O]-,1,-1,-29.0111311361
[M-H-C13H15NO3]-,1,-1,-234.11246979209997
[2M+ClO4]-,2,-1,98.9490597399
[M+H-C10H18O9]+,1,1,-281.08780570389996
[M+H-CH4SO]+,1,1,-62.991008985899995
[M+H-C6H6INO2S]+,1,1,-281.90912066989995
[M+6i-H-CO2]-,1,-1,-38.9769756921
[M+H-C6H4ClS]+,1,1,-141.9649470459
[M-H-C2H2N2O]-,1,-1,-71.0239891361
[M+H-C19H28N2O2]+,1,1,-315.20780168389996
[M+H-C2H4N4S]+,1,1,-115.00839036589998
[M-H-C13H16O7]-,1,-1,-285.0968793041
[M+H-SO]+,1,1,-46.9597088579
[M+H+2i-CH4O2]+,1,1,-45.0071429159
[M+H-C28H32NO6P]+,1,1,-508.1894479219
[M-H-C12H18O7]-,1,-1,-275.1125293681
[M+H+2i-C3H7NO]+,1,1,-70.0387773919
[M+H-C7H13NO]+,1,1,-126.0924375839
[M+H-C9H10O]+,1,1,-133.0658884879
[M-H-C7H8O2]-,1,-1,-125.0597059481
[M-H-CH2F2O2]-,1,-1,-85.0095621961
[M-H-C14H19N3O5S]-,1,-1,-342.1118178501
[M+H-C8H6N2O2S]+,1,1,-193.0077216699
[M+H-CH3S]+,1,1,-45.9882693339
[M+2i-H-C5H7O6P]-,1,-1,-192.9985910261
[M+H-C4H8N2O3]+,1,1,-131.04621566389997
[M+H-C2HCl3]+,1,1,-128.9071066199
[M+H-C7H6N2O2]+,1,1,-149.0356509799
[M-H-C7H11NO]-,1,-1,-126.0913404241
[M+H-C10H19N3O7S]+,1,1,-324.08709418589996
[M+H-CF3O]+,1,1,-83.9828478279
[M+H-C2H6]+,1,1,-29.0396737399
[M+H-H4Cl2O]+,1,1,-88.9566436559
[M-H-C8H7NO]-,1,-1,-134.0600402961
[M+H-HCCl3]+,1,1,-116.90710661989999
[M-H-C15H20O9]-,1,-1,-345.1180086721
[M+H+2i-H2S]+,1,1,-30.9737343019
[M+H-C3H4O]+,1,1,-55.0189382959
[M+H-CH2ClN2]+,1,1,-75.98337429189999
[M+H-C6H5FN2O2]+,1,1,-155.0262291679
[M+H-C12H20O12]+,1,1,-355.08819962789994
[M+H-C6H7ClO]+,1,1,-129.0112660719
[M+H-C5H11FO2]+,1,1,-121.0670313599
[M+H-NO2]+,1,1,-44.985626787899996
[M+H-C13H16ClN3O]+,1,1,-264.09091335989996
[M+H-C2H5N]+,1,1,-42.034922707899995
[M+H-2i]+,1,1,-0.9994335479
[M+H-C2H7O2PS2]+,1,1,-156.9552310219
[M-H-CN2O]-,1,-1,-57.0083390721
[4M+Na]+,4,1,22.989220700100002
[M-H-C10H7NO]-,1,-1,-158.0600402961
[M+H-C13H21NO8]+,1,1,-318.1194401799
[M+H-C8H18O3]+,1,1,-161.11831798389997
[M+H-C9H16O7]+,1,1,-235.08232639989998
[M+H-C19H21N]+,1,1,-262.16012321989996
[M-H-C14H20O3]-,1,-1,-237.14852095209997
[M+H-C20H30O13]+,1,1,-477.16136456789997
[M-H-C3H7ClO2]-,1,-1,-111.0207335961
[M-H-C8H14N2O]-,1,-1,-155.1178895201
[M-H-CH2N2]-,1,-1,-43.029074516099996
[M+H-C19H19ClF3NO3]+,1,1,-400.0932793559
[M+H-C6H10O4]+,1,1,-145.0506323479
[M+H-CClNS]+,1,1,-91.93672091789999
[M-H-C12H12O3]-,1,-1,-205.08592069609998
[M-H-C8H6N]-,1,-1,-117.0573006441
[M+H-C15H11NO3]+,1,1,-252.06661675989997
[M-H-C13H17O]-,1,-1,-190.1352166161
[M+H+2i-C2H2ClNO]+,1,1,-87.9685049119
[M-H-CH3N]-,1,-1,-30.0338255481
[M+H-C11H8N4]+,1,1,-195.0676198039
[M+H-C6H4N4]+,1,1,-131.0363196759
[M+H-C7H3Cl2N]+,1,1,-169.9569780039
[M+H-C12H12O3]+,1,1,-203.07136779189997
[M-H-C3HNO]-,1,-1,-68.0130901041
[M+H-C11H20O4]+,1,1,-215.1288826679
[M+H+2i-Br]+,1,1,-75.9043506479
[M+H-C14H9FN2O]+,1,1,-239.0626146759
[2M+CH3CN+H]+,2,1,42.033825452100004
[M+H-CH4BrO]+,1,1,-109.9372753959
[M+H-C14H15NO3]+,1,1,-244.09791688789997
[M+H-CF2]+,1,1,-48.9895299879
[M+H-C5H13NOS]+,1,1,-134.0645082739
[M+H-C10H15N]+,1,1,-148.1131730279
[M-CH2SCN]-,1,-1,-71.9902461741
[M-H-H2S]-,1,-1,-34.9949972061
[M+H-CH6SO]+,1,1,-65.0066590499
[M+H+4i-HCN]+,1,1,-21.990202579899996
[M-H-C8H8]-,1,-1,-105.0698767081
[M-H-C7H9NO2]-,1,-1,-140.0706049801
[M+H-C7H5FO2]+,1,1,-139.0200811679
[M-H-CNO3]-,1,-1,-74.9950943121
[M+H-H2O-H2]+,1,1,-19.018938611899998
[M+H-C6H12]+,1,1,-83.0866239319
[M+H-C7H7NO3]+,1,1,-152.03531663189997
[M+H-C11H14ClNO]+,1,1,-210.0691152959
[M+CHO2-H]2-,1,-2,43.990926399799996
[M+H-C7H11N3]+,1,1,-136.0880208999
[M+H-C3H7N3O2S]+,1,1,-148.0186207019
[M+H-C3H14O6]+,1,1,-145.07176171589998
[M-H-H2NO2S]-,1,-1,-80.9879004461
[M+H-C9H16N2O]+,1,1,-167.1189866799
[M+H-CHClN]+,1,1,-60.972475259899994
[M+H-C15H22O9]+,1,1,-345.11910583189996
[M+H-C7H7ClO2S]+,1,1,-188.9782513819
[M+H-C16H16F6O7]+,1,1,-433.07274571989996
[M-H-C14H10O]-,1,-1,-195.0804413921
[M+H-C2Br2Cl2]+,1,1,-250.7671031079
[M-H-C3H8O4]-,1,-1,-109.0495351881
[M-H-C12H15NO2]-,1,-1,-206.1175551721
[M+H-C7H6N2S]+,1,1,-149.0178924299
[M+H-C8H7IO2]+,1,1,-260.94180101189994
[M+H+2i-C4H7NO]+,1,1,-82.0387773919
[M-H-C7H15NO2]-,1,-1,-146.1175551721
[M-H-C17H22O10]-,1,-1,-387.12857335610005
[M+H-C3H9N3]+,1,1,-86.07237083589999
[M-H-C5H11O3]-,1,-1,-120.07809566409999
[M+H-H5NO2]+,1,1,-50.0247519479
[M-H-C7H12O8]-,1,-1,-225.0604937961
[M+H-C6H6ClNO2S]+,1,1,-189.9735003499
[M+H-C10H16O8]+,1,1,-263.0772410199
[M+H-CH5N3O]+,1,1,-74.0359853279
[M+H-C23H42O20]+,1,1,-637.2196672919
[M+H-C14H12ClN]+,1,1,-228.0585506119
[M-H-CH4SO4]-,1,-1,-112.99030575009999
[M+H-C3H5O3]+,1,1,-88.01659256789999
[M+2i-H-HBr]-,1,-1,-78.9267285841
[M+H-C7H4O3]+,1,1,-135.00876753589998
[M+H-C10H12O]+,1,1,-147.0815385519
[M-H-C15H12O6]-,1,-1,-289.0706645561
[M+H+2i-C7H10O]+,1,1,-107.0591784879
[M+H-C24H40O21]+,1,1,-663.1989318479
[M+H-C12H10N2O3]+,1,1,-229.06186572789997
[M+H-C13H14O]+,1,1,-185.0971886159
[M+H-C4H4O]+,1,1,-67.0189382959
[M+H-C14H12]+,1,1,-179.0866239319
[M+H-C10H14O5]+,1,1,-213.07684709589998
[M+H-C4H5Br]+,1,1,-130.9501858079
[M+H-H3PO4]+,1,1,-96.9696187539
[M+H-C12H26O12]+,1,1,-361.13514981989994
[M+H-C12H15N3O]+,1,1,-216.1142356479
[M+H-C14H28O8]+,1,1,-323.1711414039
[M-H-C12H17F2NO2]-,1,-1,-246.1300116761
[M+H-C2H5ClO]+,1,1,-78.9956160079
[M+H-C9H10FNO2]+,1,1,-182.0622803279
[M+H-C5H3NS]+,1,1,-107.99134333389999
[M+H-C5H10N2S]+,1,1,-129.0491925579
[M+H-C7H5ClO]+,1,1,-138.9956160079
[M+H+2i-CHClO]+,1,1,-60.9576058799
[M+H+2i-C4H9N]+,1,1,-68.0595128359
[M+H-C6H8O5]+,1,1,-159.02989690389998
[M-H-C16H24O12]-,1,-1,-409.1340526601
[M-H-C8H6SO2]-,1,-1,-167.0161265741
